site,kind,ctgr,seq,upPpnCd,devKdCd,ppnCd,detail_url
uplusumobile,usim,SPCL,494,PAIKS_LTE,003,LPZ1000002,https://www.uplusumobile.com/product/pric/pricDetail?seq=494&upPpnCd=PAIKS_LTE&devKdCd=003
uplusumobile,usim,SPCL,495,PAIKS_LTE,003,LPZ1000003,https://www.uplusumobile.com/product/pric/pricDetail?seq=495&upPpnCd=PAIKS_LTE&devKdCd=003
uplusumobile,usim,SPCL,496,PAIKS_LTE,003,LPZ1000007,https://www.uplusumobile.com/product/pric/pricDetail?seq=496&upPpnCd=PAIKS_LTE&devKdCd=003
uplusumobile,usim,SPCL,497,PAIKS_LTE,003,LPZ1000009,https://www.uplusumobile.com/product/pric/pricDetail?seq=497&upPpnCd=PAIKS_LTE&devKdCd=003
uplusumobile,usim,SPCL,498,PAIKS_5G,003,LPZ1000010,https://www.uplusumobile.com/product/pric/pricDetail?seq=498&upPpnCd=PAIKS_5G&devKdCd=003
uplusumobile,usim,SPCL,499,PAIKS_5G,003,LPZ1000012,https://www.uplusumobile.com/product/pric/pricDetail?seq=499&upPpnCd=PAIKS_5G&devKdCd=003
uplusumobile,usim,SPCL,521,KYOBO_LTE,003,LPZ1003942,https://www.uplusumobile.com/product/pric/pricDetail?seq=521&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,522,KYOBO_LTE,003,LPZ1003955,https://www.uplusumobile.com/product/pric/pricDetail?seq=522&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,523,KYOBO_LTE,003,LPZ1003956,https://www.uplusumobile.com/product/pric/pricDetail?seq=523&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,524,KYOBO_LTE,003,LPZ1003962,https://www.uplusumobile.com/product/pric/pricDetail?seq=524&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,525,KYOBO_LTE,003,LPZ1003964,https://www.uplusumobile.com/product/pric/pricDetail?seq=525&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,526,KYOBO_LTE,003,LPZ1003969,https://www.uplusumobile.com/product/pric/pricDetail?seq=526&upPpnCd=KYOBO_LTE&devKdCd=003
uplusumobile,usim,SPCL,532,SelfCare,003,LPZ1004464,https://www.uplusumobile.com/product/pric/pricDetail?seq=532&upPpnCd=SelfCare&devKdCd=003
uplusumobile,usim,SPCL,315,SelfCare,003,LPZ0018238,https://www.uplusumobile.com/product/pric/pricDetail?seq=315&upPpnCd=SelfCare&devKdCd=003
uplusumobile,usim,SPCL,316,SelfCare,003,LPZ0018235,https://www.uplusumobile.com/product/pric/pricDetail?seq=316&upPpnCd=SelfCare&devKdCd=003
uplusumobile,usim,SPCL,213,NPAY,003,LPZ0016369,https://www.uplusumobile.com/product/pric/pricDetail?seq=213&upPpnCd=NPAY&devKdCd=003
uplusumobile,usim,SPCL,475,NPAY,003,LPZ1001492,https://www.uplusumobile.com/product/pric/pricDetail?seq=475&upPpnCd=NPAY&devKdCd=003
uplusumobile,usim,SPCL,476,NPAY,003,LPZ1001478,https://www.uplusumobile.com/product/pric/pricDetail?seq=476&upPpnCd=NPAY&devKdCd=003
uplusumobile,usim,SPCL,477,NPAY,003,LPZ1001501,https://www.uplusumobile.com/product/pric/pricDetail?seq=477&upPpnCd=NPAY&devKdCd=003
uplusumobile,usim,SPCL,478,NPAY,003,LPZ1001510,https://www.uplusumobile.com/product/pric/pricDetail?seq=478&upPpnCd=NPAY&devKdCd=003
uplusumobile,usim,SPCL,490,USIMS,003,LPZ1000013,https://www.uplusumobile.com/product/pric/pricDetail?seq=490&upPpnCd=USIMS&devKdCd=003
uplusumobile,usim,SPCL,489,USIMS,003,LPZ1000014,https://www.uplusumobile.com/product/pric/pricDetail?seq=489&upPpnCd=USIMS&devKdCd=003
uplusumobile,usim,SPCL,245,USIMS,003,LPZ0017200,https://www.uplusumobile.com/product/pric/pricDetail?seq=245&upPpnCd=USIMS&devKdCd=003
uplusumobile,usim,SPCL,491,USIMJ,003,LPZ1000016,https://www.uplusumobile.com/product/pric/pricDetail?seq=491&upPpnCd=USIMJ&devKdCd=003
uplusumobile,usim,SPCL,492,USIMJ,003,LPZ1000019,https://www.uplusumobile.com/product/pric/pricDetail?seq=492&upPpnCd=USIMJ&devKdCd=003
uplusumobile,usim,SPCL,493,USIMJ,003,LPZ1000021,https://www.uplusumobile.com/product/pric/pricDetail?seq=493&upPpnCd=USIMJ&devKdCd=003
uplusumobile,usim,SPCL,253,USIMZ,003,LPZ0002680,https://www.uplusumobile.com/product/pric/pricDetail?seq=253&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,272,USIMZ,003,LPZ0017611,https://www.uplusumobile.com/product/pric/pricDetail?seq=272&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,479,USIMZ,003,LPZ1001496,https://www.uplusumobile.com/product/pric/pricDetail?seq=479&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,480,USIMZ,003,LPZ1001479,https://www.uplusumobile.com/product/pric/pricDetail?seq=480&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,481,USIMZ,003,LPZ1001505,https://www.uplusumobile.com/product/pric/pricDetail?seq=481&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,482,USIMZ,003,LPZ1001513,https://www.uplusumobile.com/product/pric/pricDetail?seq=482&upPpnCd=USIMZ&devKdCd=003
uplusumobile,usim,SPCL,103,UPAD,003,LPZ0016351,https://www.uplusumobile.com/product/pric/pricDetail?seq=103&upPpnCd=UPAD&devKdCd=003
uplusumobile,usim,SPCL,102,UPAD,003,LPZ0016345,https://www.uplusumobile.com/product/pric/pricDetail?seq=102&upPpnCd=UPAD&devKdCd=003
uplusumobile,usim,5G,189,U012,003,LPZ0016138,https://www.uplusumobile.com/product/pric/pricDetail?seq=189&upPpnCd=U012&devKdCd=003
uplusumobile,usim,5G,270,U012,003,LPZ0017502,https://www.uplusumobile.com/product/pric/pricDetail?seq=270&upPpnCd=U012&devKdCd=003
uplusumobile,usim,5G,431,U022,003,LPZ0012197,https://www.uplusumobile.com/product/pric/pricDetail?seq=431&upPpnCd=U022&devKdCd=003
uplusumobile,usim,5G,430,U022,003,LPZ0012201,https://www.uplusumobile.com/product/pric/pricDetail?seq=430&upPpnCd=U022&devKdCd=003
uplusumobile,usim,5G,429,U022,003,LPZ0012204,https://www.uplusumobile.com/product/pric/pricDetail?seq=429&upPpnCd=U022&devKdCd=003
uplusumobile,usim,5G,428,U022,003,LPZ0012208,https://www.uplusumobile.com/product/pric/pricDetail?seq=428&upPpnCd=U022&devKdCd=003
uplusumobile,usim,5G,416,U011,003,LPZ0019749,https://www.uplusumobile.com/product/pric/pricDetail?seq=416&upPpnCd=U011&devKdCd=003
uplusumobile,usim,5G,533,U011,003,LPZ1004465,https://www.uplusumobile.com/product/pric/pricDetail?seq=533&upPpnCd=U011&devKdCd=003
uplusumobile,usim,5G,280,U011,003,LPZ0017721,https://www.uplusumobile.com/product/pric/pricDetail?seq=280&upPpnCd=U011&devKdCd=003
uplusumobile,usim,5G,282,U010,003,LPZ0017719,https://www.uplusumobile.com/product/pric/pricDetail?seq=282&upPpnCd=U010&devKdCd=003
uplusumobile,usim,5G,462,U010,003,LPZ1001092,https://www.uplusumobile.com/product/pric/pricDetail?seq=462&upPpnCd=U010&devKdCd=003
uplusumobile,usim,5G,463,U010,003,LPZ1001094,https://www.uplusumobile.com/product/pric/pricDetail?seq=463&upPpnCd=U010&devKdCd=003
uplusumobile,usim,5G,464,U010,003,LPZ1001096,https://www.uplusumobile.com/product/pric/pricDetail?seq=464&upPpnCd=U010&devKdCd=003
uplusumobile,usim,5G,412,U011,003,LPZ0019675,https://www.uplusumobile.com/product/pric/pricDetail?seq=412&upPpnCd=U011&devKdCd=003
uplusumobile,usim,5G,281,U011,003,LPZ0017727,https://www.uplusumobile.com/product/pric/pricDetail?seq=281&upPpnCd=U011&devKdCd=003
uplusumobile,usim,5G,283,U010,003,LPZ0017728,https://www.uplusumobile.com/product/pric/pricDetail?seq=283&upPpnCd=U010&devKdCd=003
uplusumobile,phone,LTE,319,H012,001,LPZ0018384,https://www.uplusumobile.com/product/pric/pricDetail?seq=319&upPpnCd=H012&devKdCd=001
uplusumobile,phone,LTE,11,H012,001,LPZ0000201,https://www.uplusumobile.com/product/pric/pricDetail?seq=11&upPpnCd=H012&devKdCd=001
uplusumobile,phone,LTE,459,H011,001,LPZ1000693,https://www.uplusumobile.com/product/pric/pricDetail?seq=459&upPpnCd=H011&devKdCd=001
uplusumobile,phone,LTE,460,H010,001,LPZ1000697,https://www.uplusumobile.com/product/pric/pricDetail?seq=460&upPpnCd=H010&devKdCd=001
uplusumobile,phone,LTE,360,H017,001,LPZ0019031,https://www.uplusumobile.com/product/pric/pricDetail?seq=360&upPpnCd=H017&devKdCd=001
uplusumobile,phone,LTE,550,H007,001,LPZ1004923,https://www.uplusumobile.com/product/pric/pricDetail?seq=550&upPpnCd=H007&devKdCd=001
uplusumobile,phone,LTE,461,H003,001,LPZ1000699,https://www.uplusumobile.com/product/pric/pricDetail?seq=461&upPpnCd=H003&devKdCd=001
uplusumobile,phone,LTE,112,H011,001,LPZ0015024,https://www.uplusumobile.com/product/pric/pricDetail?seq=112&upPpnCd=H011&devKdCd=001
uplusumobile,phone,LTE,257,H010,001,LPZ0017368,https://www.uplusumobile.com/product/pric/pricDetail?seq=257&upPpnCd=H010&devKdCd=001
uplusumobile,phone,LTE,364,H007,001,LPZ0019025,https://www.uplusumobile.com/product/pric/pricDetail?seq=364&upPpnCd=H007&devKdCd=001
uplusumobile,phone,LTE,365,H004,001,LPZ0019036,https://www.uplusumobile.com/product/pric/pricDetail?seq=365&upPpnCd=H004&devKdCd=001
uplusumobile,phone,LTE,361,H006,001,LPZ0019038,https://www.uplusumobile.com/product/pric/pricDetail?seq=361&upPpnCd=H006&devKdCd=001
