site,kind,ctgr,seq,ctgrId,hpPpnSeq,hpPpnCd,upPpnCd,devKdCd,sbscTypCd2,sbscTypCd3,feeName,feeType,title,feature_vol,feature_limit,feature_supply,price_origin,price_discount,chips,speed_toplist,speed_data_guide,detail_url,list_url
uplusumobile,usim,SPCL,580,003,580,LPZ1006246,GS25_5G,003,U,E,GS25 5G (10GB/200분),USIM/ESIM,GS25 5G (10GB/200분),10GB,200분,100건,32800,13500,GS25,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=580&upPpnCd=GS25_5G&devKdCd=003,
uplusumobile,usim,SPCL,570,003,570,LPZ1005543,DAISO_24M,003,U,E,다성비 (71GB+/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (71GB+/통화기본) [매월 다이소 5천원],11GB+일2GB,기본제공,기본제공,51290,34890,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=570&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,571,003,571,LPZ1005544,DAISO_24M,003,U,E,다성비 (25GB+/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (25GB+/통화기본) [매월 다이소 5천원],(15+10)GB,기본제공,기본제공,51900,23800,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=571&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,572,003,572,LPZ1005545,DAISO_24M,003,U,E,다성비 (17GB+/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (17GB+/통화기본) [매월 다이소 5천원],(7+10)GB,기본제공,기본제공,43300,19400,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=572&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,573,003,573,LPZ1005546,DAISO_24M,003,U,E,다성비 (7GB+/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (7GB+/통화기본) [매월 다이소 5천원],7GB,기본제공,기본제공,41700,17800,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=573&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,575,003,575,LPZ1005548,DAISO_24M,003,U,E,다성비 (1GB+/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (1GB+/통화기본) [매월 다이소 5천원],1GB,기본제공,기본제공,26300,10900,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=575&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,576,003,576,LPZ1005549,DAISO_24M,003,U,E,다성비 (1.5GB/통화기본) [매월 다이소 5천원],USIM/ESIM,다성비 (1.5GB/통화기본) [매월 다이소 5천원],1.5GB,기본제공,기본제공,26000,8900,다이소,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=576&upPpnCd=DAISO_24M&devKdCd=003,
uplusumobile,usim,SPCL,558,003,558,LPZ1005269,YOUNG_LTE,003,U,E,YOUNG (100GB+/통화기본),USIM/ESIM,YOUNG (100GB+/통화기본),100GB,기본제공,기본제공,47600,39200,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=558&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,559,003,559,LPZ1005270,YOUNG_LTE,003,U,E,YOUNG (71GB+/통화기본),USIM/ESIM,YOUNG (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,50390,33990,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=559&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,561,003,561,LPZ1005390,YOUNG_LTE,003,U,E,YOUNG (15GB+/300분),USIM/ESIM,YOUNG (15GB+/300분),15GB,300분,300건,56000,28450,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=561&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,562,003,562,LPZ1005392,YOUNG_LTE,003,U,E,YOUNG (9GB/3000분),USIM/ESIM,YOUNG (9GB/3000분),9GB,3000분,1000건,38800,13500,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=562&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,563,003,563,LPZ1005393,YOUNG_LTE,003,U,E,YOUNG (6GB/통화기본),USIM/ESIM,YOUNG (6GB/통화기본),6GB,기본제공,기본제공,36000,10500,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=563&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,560,003,560,LPZ1005272,YOUNG_LTE,003,U,E,YOUNG (1GB+/통화기본),USIM/ESIM,YOUNG (1GB+/통화기본),1GB,기본제공,기본제공,26300,10900,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=560&upPpnCd=YOUNG_LTE&devKdCd=003,
uplusumobile,usim,SPCL,564,003,564,LPZ1005391,YOUNG_5G,003,U,E,YOUNG 5G (50GB+/통화기본),USIM/ESIM,YOUNG 5G (50GB+/통화기본),50GB,기본제공,기본제공,51000,38850,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=564&upPpnCd=YOUNG_5G&devKdCd=003,
uplusumobile,usim,SPCL,565,003,565,LPZ1005394,YOUNG_5G,003,U,E,YOUNG 5G (3GB/통화기본),USIM/ESIM,YOUNG 5G (3GB/통화기본),3GB,기본제공,기본제공,25400,8900,올리브영,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=565&upPpnCd=YOUNG_5G&devKdCd=003,
uplusumobile,usim,SPCL,537,003,537,LPZ1003065,ezlKpass,003,U,E,이동의즐거움 K-패스 (100GB+/통화기본),USIM/ESIM,이동의즐거움 K-패스 (100GB+/통화기본),100GB,기본제공,기본제공,47600,38400,대중교통할인,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=537&upPpnCd=ezlKpass&devKdCd=003,
uplusumobile,usim,SPCL,538,003,538,LPZ1001481,ezlKpass,003,U,E,이동의즐거움 K-패스 (71GB+/통화기본),USIM/ESIM,이동의즐거움 K-패스 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,50390,33990,대중교통할인,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=538&upPpnCd=ezlKpass&devKdCd=003,
uplusumobile,usim,SPCL,539,003,539,LPZ1001487,ezlKpass,003,U,E,이동의즐거움 K-패스 (15GB+/통화기본),USIM/ESIM,이동의즐거움 K-패스 (15GB+/통화기본),15GB,기본제공,기본제공,49400,21400,대중교통할인,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=539&upPpnCd=ezlKpass&devKdCd=003,
uplusumobile,usim,SPCL,540,003,540,LPZ0018077,ezlKpass,003,U,E,이동의즐거움 K-패스 (7GB+/통화기본),USIM/ESIM,이동의즐거움 K-패스 (7GB+/통화기본),7GB,기본제공,기본제공,40800,16200,대중교통할인,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=540&upPpnCd=ezlKpass&devKdCd=003,
uplusumobile,usim,SPCL,541,003,541,LPZ1004302,ezlKpass,003,U,E,이동의즐거움 K-패스 (1GB+/통화기본),USIM/ESIM,이동의즐거움 K-패스 (1GB+/통화기본),1GB,기본제공,기본제공,26300,10900,대중교통할인,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=541&upPpnCd=ezlKpass&devKdCd=003,
uplusumobile,usim,SPCL,547,003,547,LPZ1004875,PLUSALPHA,003,U,E,데이터플러스 (15GB+/100분),USIM/ESIM,데이터플러스 (15GB+/100분),(15+10)GB,100분,100건,51550,26900,매월데이터10GB추가,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=547&upPpnCd=PLUSALPHA&devKdCd=003,
uplusumobile,usim,SPCL,535,003,535,LPZ1004293,PLUSALPHA,003,U,E,데이터플러스 (15GB+/통화기본),USIM/ESIM,데이터플러스 (15GB+/통화기본),(15+10)GB,기본제공,기본제공,50000,21900,매월데이터10GB추가,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=535&upPpnCd=PLUSALPHA&devKdCd=003,
uplusumobile,usim,SPCL,566,003,566,LPZ1005395,PLUSALPHA,003,U,E,데이터플러스 (10GB+/통화기본),USIM/ESIM,데이터플러스 (10GB+/통화기본),(10+10)GB,기본제공,기본제공,43550,19900,매월데이터10GB추가,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=566&upPpnCd=PLUSALPHA&devKdCd=003,
uplusumobile,usim,SPCL,536,003,536,LPZ1004294,PLUSALPHA,003,U,E,데이터플러스 (7GB+/통화기본),USIM/ESIM,데이터플러스 (7GB+/통화기본),(7+10)GB,기본제공,기본제공,41400,17500,매월데이터10GB추가,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=536&upPpnCd=PLUSALPHA&devKdCd=003,
uplusumobile,usim,SPCL,542,003,542,LPZ1004290,hywill_LTE,003,U,E,플러스알파 (71GB+/통화기본),USIM/ESIM,플러스알파 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,51000,34600,윌야쿠르트240개,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=542&upPpnCd=hywill_LTE&devKdCd=003,
uplusumobile,usim,SPCL,545,003,545,LPZ1004873,hywill_LTE,003,U,E,플러스알파 (15GB+/통화기본),USIM/ESIM,플러스알파 (15GB+/통화기본),15GB,기본제공,기본제공,50000,22500,윌야쿠르트240개,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=545&upPpnCd=hywill_LTE&devKdCd=003,
uplusumobile,usim,SPCL,546,003,546,LPZ1004874,hywill_LTE,003,U,E,플러스알파 (7GB+/통화기본),USIM/ESIM,플러스알파 (7GB+/통화기본),7GB,기본제공,기본제공,41400,17500,윌야쿠르트240개,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=546&upPpnCd=hywill_LTE&devKdCd=003,
uplusumobile,usim,SPCL,543,003,543,LPZ1004298,hywill_LTE,003,U,E,플러스알파 (4.5GB+/통화기본),USIM/ESIM,플러스알파 (4.5GB+/통화기본),4.5GB,기본제공,기본제공,38200,15500,윌야쿠르트240개,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=543&upPpnCd=hywill_LTE&devKdCd=003,
uplusumobile,usim,SPCL,544,003,544,LPZ1004921,hywill_LTE,003,U,E,플러스알파 (1GB+/통화기본),USIM/ESIM,플러스알파 (1GB+/통화기본),1GB,기본제공,기본제공,26900,11500,윌야쿠르트240개,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=544&upPpnCd=hywill_LTE&devKdCd=003,
uplusumobile,usim,SPCL,494,003,494,LPZ1000002,PAIKS_LTE,003,U,E,빽다방 100잔 (71GB+/통화기본),USIM/ESIM,빽다방 100잔 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,50000,34500,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=494&upPpnCd=PAIKS_LTE&devKdCd=003,
